Numero,Cliente,Saldo
157,18763,42930
158,65513,97136
159,44368,73176
160,60193,98089
161,40498,17383
162,26399,61213
163,101333,19160
164,22845,70523
165,91118,60087
166,3509,29413
167,48865,87329
168,38652,52306
169,46750,81131
170,51107,94590
171,32415,32400
172,49529,30386
173,70095,84962
174,12240,34778
175,25509,68960
176,19680,81622
177,76457,47760
178,3910,36422
179,76187,74886
180,4211,99489
181,57428,56672
182,78273,48010
183,36067,18855
184,91377,18070
185,23697,34745
186,60420,41123
187,32339,78985
188,15010,46401
189,56129,91160
190,22886,70301
191,56030,98004
192,34252,99863
193,61551,3703
194,23456,61632
195,61980,69865
196,71504,80726
197,24378,32210
198,50766,18194
199,57652,34978
200,15548,28024
201,13560,40646
202,51493,83846
203,13084,38941
204,4784,46684
205,78849,93309
206,5373,89787
207,42289,23817
208,35405,60426
209,71138,8242
210,35250,67258
211,71656,83372
212,39128,42213
213,28015,37917
214,2774,68819
215,41518,37299
216,98713,76866
217,12957,14583
218,89797,20549
219,89340,2597
220,30305,46238
221,53310,25921
222,25530,44475
223,50565,26935
224,23506,55972
225,43334,52619
226,37036,98626
227,58970,70832
228,17474,90003
229,13519,48881
230,57180,30317
231,21322,46051
232,40644,68017
233,72439,94067
234,99276,63577
235,60204,37408
236,39369,64714
237,75010,57185
238,65329,71923
239,3946,78125
240,100167,75084
241,41991,83229
242,24673,80836
243,96157,6789
244,59478,69279
245,25578,74551
246,30667,22324
247,36006,30988
248,35645,83077
249,42222,99279
250,61058,93884
251,49760,46430
252,101616,17742
253,17909,3574
254,83421,10992
255,73751,66200
256,36925,28014
257,239,51549
258,41154,33223
259,97853,71148
260,37058,46031
261,74948,34007
262,20391,3477
263,81053,64005
264,38402,10879
265,54142,43332
266,80553,51707
267,55460,60117
268,12685,20682
269,37469,94137
270,78374,7412
271,81603,32427
272,84775,29145
273,44236,74332
274,33489,36780
275,32158,53091
276,51699,93760
277,47503,12184
278,92110,95349
279,59534,74592
280,54653,66090
281,79590,74783
282,71750,68212
283,65506,89724
284,28786,52471
285,36307,40104
286,69579,93652
287,48489,11380
288,66444,93911
289,90013,1200
290,13071,14803
291,62716,95908
292,73033,13550
293,5723,33594
294,59225,23088
295,88276,4150
296,36221,57178
297,7219,46134
298,54353,75158
299,49117,71627
300,45213,40464
301,94829,30418
302,95243,23648
303,43332,86809
304,41301,73519
305,85375,46601
306,34043,73375
307,42671,17333
308,2160,35722
309,21234,28681
310,22766,17194
311,85491,53170
312,38402,33375
313,50541,12823
314,3157,29562
315,44433,97108
316,9752,28867
317,18978,59211
318,57590,9716
319,93571,62451
320,67567,48733
321,69439,21981
322,93229,19031
323,24217,1697
324,19304,40621
325,56116,70770
326,821,29094
327,66073,25430
328,28830,4548
329,56835,7537
330,46507,18906
331,1465,89099
332,83907,83823
333,55872,72122
334,26083,72602
335,14918,12165
336,78590,60838
337,101244,37801
338,32709,82986
339,97048,15945
340,34249,16324
341,40213,95094
342,87654,24719
343,53451,86648
344,26300,81358
345,68790,32827
346,8742,38158
347,72789,18878
348,78708,11472
349,73359,52031
350,81724,71995
351,97123,78094
352,99799,17199
353,67024,35590
354,2768,99041
355,33344,16437
356,55635,57192
357,94981,90340
358,61163,32148
359,1392,56254
360,28249,58833
361,82428,52368
362,32996,1446
363,75581,6603
364,72091,17257
365,37331,93559
366,51289,80904
367,58012,36406
368,94117,36291
369,54175,15979
370,80399,97080
371,29672,96718
372,81407,30680
373,82446,50838
374,78715,80351
375,8846,63807
376,79785,92987
377,16742,9304
378,69974,50665
379,83769,73342
380,9377,89039
381,46400,52550
382,52949,84180
383,15924,19473
384,30342,21330
385,100223,10362
386,50855,69019
387,41211,10605
388,91588,21719
389,71919,50830
390,94948,21447
391,8510,35901
392,99299,35745
393,20023,26994
394,28052,66963
395,55657,11309
396,42628,37476
397,94987,69246
398,84170,93697
399,34389,47674
400,5965,55459
401,78675,42784
402,14420,80936
403,35369,43509
404,11711,83794
405,22795,10199
406,1332,93390
407,73685,28065
408,101876,19829
409,21844,23296
410,33256,27319
411,92390,71846
412,28183,8623
413,38345,33734
414,29742,17131
415,97408,59975
416,22550,19543
417,81142,23095
418,46130,13947
419,61192,54567
420,6367,37177
421,89182,33184
422,94788,13501
423,14530,92009
424,23301,2655
425,42680,80579
426,92490,49887
427,67169,27516
428,81880,27848
429,5978,10086
430,39851,25491
431,47279,31327
432,66817,70721
433,423,64886
434,39139,15430
435,95844,11286
436,7154,78211
437,38842,58108
438,93664,91257
439,81844,72299
440,41542,21236
441,87034,95168
442,5664,72960
443,43658,29947
444,93613,56883
445,94800,45540
446,84370,37979
447,557,32524
448,8432,72073
449,46381,85539
450,55992,98126
451,5145,76525
452,49677,72406
453,29953,27652
454,24926,2286
455,66904,46455
456,17521,55448
457,68302,38089
458,67461,99451
459,50489,9350
460,2723,63979
461,32448,73720
462,64003,1640
463,49365,38432
464,45793,22121
465,60190,66873
466,24310,37742
467,68592,34968
468,97248,1278
469,28940,7646
470,90434,4483
471,80106,31402
472,85746,99493
473,76382,58698
474,45729,40087
475,17126,32814
476,92580,54042
477,79615,17915
478,43874,8668
479,28938,57554
480,4061,32713
481,27036,37845
482,8436,44530
483,27075,35087
484,33844,80894
485,53835,60613
486,41668,29455
487,2035,32611
488,47738,16626
489,41018,71354
490,33534,14163
491,52818,91058
492,21178,67826
493,50896,32621
494,86554,63834
495,77138,78557
496,995,45516
497,62427,94104
498,56587,50728
499,44411,1932
500,14734,23591
501,41069,92332
502,3872,46484
503,95987,98052
504,72507,95305
505,60460,91702
506,3787,6514
507,3514,34570
508,63083,55069
509,61403,42217
510,50874,71483
511,98260,37005
512,13049,40549
513,100872,95092
514,44604,50195
515,78553,19614
516,45137,28839
517,41365,65560
518,67917,94032
519,69490,23398
520,68325,74453
521,61292,4960
522,20636,93634
523,63630,59692
524,25502,11297
525,9240,76568
526,88387,75971
527,26063,614
528,56393,73282
529,7332,56250
530,8460,9053
531,19326,89596
532,322,43320
533,72496,96920
534,77752,43473
535,9560,96204
536,6093,11326
537,34827,3810
538,93049,78664
539,49906,91492
540,76600,64862
541,17105,88200
542,41168,76780
543,14773,68399
544,48085,83665
545,6258,21941
546,14776,12521
547,30076,82353
548,40745,97084
549,96910,77313
550,62820,30273
551,35143,54013
552,73703,23955
553,85937,34321
554,49732,52362
555,69974,62611
556,54498,72527
557,20420,97438
558,44908,91139
559,92808,50774
560,88514,61930
561,10560,7774
562,86496,58208
563,7012,59731
564,44945,8984
565,49420,73159
566,45153,14722
567,15979,45235
568,49943,26352
569,58264,30090
570,98272,8320
571,71408,86476
572,69563,16789
573,67864,30598
574,88234,5095
575,55553,72747
576,22401,40673
577,54623,80620
578,28683,90766
579,35171,24825
580,54950,43998
581,3514,8591
582,42889,81294
583,73638,67094
584,73848,25880
585,63803,73447
586,83329,23100
587,12480,44903
588,15974,12434
589,41697,67743
590,99257,50294
591,38255,12629
592,62009,78866
593,13112,35404
594,47338,58787
595,77380,94974
596,100857,15036
597,58874,17269
598,85060,32294
599,40020,18445
600,52273,9747
601,8046,26198
602,50277,87185
603,70052,49937
604,28259,28046
605,61458,76927
606,100084,46806
607,30641,91341
608,71731,5492
609,72955,73195
610,60342,42282
611,45433,82026
612,47507,45081
613,8043,1306
614,35818,89351
615,14705,1108
616,86698,25794
617,82030,12779
618,48872,88009
619,76820,87734
620,39640,1163
621,14152,71693
622,65687,50013
623,68371,13491
624,72025,71173
625,11271,96161
626,65416,77515
627,14185,54429
628,57891,97078
629,46087,75630
630,7183,93279
631,29574,37695
632,5159,6265
633,35434,52483
634,37305,57578
635,52715,11320
636,75824,60961
637,98729,27506
638,15673,57585
639,61958,17121
640,69462,26789
641,94340,80200
642,22178,41241
643,70716,15782
644,11643,41740
645,15001,43065
646,78804,14306
647,34603,53451
648,23757,71096
649,1021,77564
650,43993,10780
651,93062,36968
652,34202,36287
653,29724,80334
654,37888,66537
655,48613,59349
656,13348,23423
657,41218,22969
658,34934,4901
659,31402,88995
660,57547,28846
661,61824,25275
662,34356,83985
663,39445,16188
664,18986,10811
665,32136,75210
666,94349,26047
667,67379,38508
668,45551,13182
669,36254,19923
670,42760,37485
671,66612,90710
672,65659,68986
673,18234,30833
674,46668,11695
675,72037,1015
676,73835,72818
677,94710,7062
678,61907,27349
679,5980,42484
680,79631,29698
681,65983,3576
682,51878,99799
683,61305,86654
684,31353,67827
685,71562,12019
686,88197,98348
687,3210,23388
688,31605,72600
689,13512,1286
690,46513,99221
691,85722,277
692,55459,7021
693,41431,83075
694,91345,41851
695,92186,57541
696,46254,18698
697,94992,4155
698,76689,5161
699,28835,99488
700,11095,50042
701,70718,16571
702,85457,76818
703,8787,84457
704,46445,98854
705,70269,25647
706,17157,2836
707,93154,75425
708,99205,54827
709,95127,53135
710,68469,85355
711,4493,26305
712,8720,36252
713,86314,52385
714,22746,28186
715,87748,18372
716,31399,29879
717,86157,41665
718,59465,34829
719,84376,47665
720,11287,34819
721,93401,71840
722,92907,7769
723,20823,88153
724,80275,10395
725,1483,55505
726,15807,96247
727,84358,8343
728,6488,8451
729,17612,2324
730,58179,43689
731,60063,53168
732,30504,98902
733,75765,53523
734,101042,71769
735,22561,20189
736,60243,40035
737,27288,35719
738,40278,61014
739,77954,47925
740,100851,55925
741,6588,82368
742,40400,2461
743,1574,35851
744,87345,91854
745,36009,36138
746,72658,19817
747,60679,68135
748,74455,92286
749,51285,47896
750,12122,92227
751,3400,42719
752,73871,58408
753,97261,77623
754,1266,51438
755,23298,74015
756,34017,14316
757,28850,59557
758,25681,16876
759,62864,79870
760,51023,40136
761,95000,24825
762,80463,11835
763,2219,14820
764,49382,30029
765,55756,25719
766,82792,28201
767,70251,78215
768,13614,12965
769,60579,10324
770,98976,69947
771,75762,61142
772,101770,14669
773,88331,62777
774,100896,18092
775,63838,55034
776,69562,76320
777,25202,64260
778,53528,50882
779,4074,78711
780,100229,6226
781,101356,63022
782,38706,21328
783,58413,30533
784,58080,86285
785,49572,46122
786,56375,13432
787,101345,35731
788,70150,64078
789,25285,23857
790,47426,47164
791,55157,64
792,66614,61586
793,70555,76161
794,36435,41759
795,21197,70901
796,78564,87055
797,78421,50233
798,37705,48395
799,74474,82956
800,28434,16348
801,88965,57873
802,428,98465
803,77231,99324
804,48069,93189
805,65595,49076
806,46115,238
807,25545,66579
808,12186,11025
809,97209,79536
810,29911,39619
811,8987,94698
812,69309,71098
813,5265,17132
814,97285,80792
815,16371,3514
816,1622,53866
817,47225,63105
818,75839,60663
819,1302,91783
820,67024,35211
821,21913,46351
822,74984,17816
823,86876,12065
824,8379,70673
825,72837,58131
826,4930,21560
827,89501,82839
828,18633,40332
829,42446,62545
830,81105,48251
831,10881,31986
832,89464,98620
833,22513,79943
834,39336,62420
835,96732,13218
836,8020,77359
837,95920,14271
838,39083,46381
839,97725,97862
840,44006,2174
841,13536,85043
842,84278,57810
843,33157,38506
844,50185,74698
845,53640,59296
846,81690,78180
847,99636,52003
848,12148,72662
849,87001,8828
850,26973,26361
851,12054,27306
852,30972,56013
853,91677,87802
854,1982,36986
855,30200,3753
856,15799,80668
857,19385,72030
858,82844,38468
859,76700,19156
860,9597,59616
861,3942,99170
862,14363,42524
863,51625,69518
864,43370,21611
865,90354,12395
866,26237,97879
867,3670,49008
868,22402,96538
869,90025,42239
870,78845,11133
871,52469,66371
872,45021,78354
873,91099,56262
874,100852,77654
875,62484,23465
876,36158,33705
877,912,93338
878,80647,16287
879,32057,23234
880,51371,81739
881,86303,13032
882,16488,1327
883,86484,37248
884,21028,91791
885,33585,80073
886,6876,21242
887,95630,64883
888,10910,34199
889,14465,57262
890,64739,94618
891,12104,81305
892,64742,8170
893,64318,50424
894,90020,2311
895,84595,3985
896,13671,32112
897,29206,76346
898,86805,73666
899,52321,71926
900,89255,70469
901,51966,6485
902,45949,43022
903,80209,13863
904,45553,11014
905,57501,69625
906,47233,46005
907,7027,60259
908,79842,75189
909,100106,34449
910,75387,9864
911,51633,45679
912,60222,63611
913,26276,65471
914,6622,69159
915,98142,97337
916,69782,9932
917,91284,16897
918,87496,99535
919,51221,22967
920,87956,19711
921,43465,47653
922,55026,12991
923,28534,74034
924,22294,26641
925,26800,35065
926,71859,8691
927,40672,56135
928,98222,4978
929,66053,89176
930,88793,22712
931,60652,80773
932,61693,97076
933,89641,80249
934,84255,36498
935,66139,72692
936,50596,93090
937,92583,79696
938,2353,73212
939,38000,49678
940,80339,6733
941,81286,29745
942,60956,55360
943,49167,95686
944,15931,9750
945,88985,38053
946,9261,61388
947,76166,15232
948,70167,22380
949,39418,86839
950,91248,18905
951,59282,56443
952,41515,31280
953,68050,50072
954,3111,94241
955,21491,90866
956,85689,79644
957,46015,9429
958,49939,82311
959,85377,41003
960,34806,20529
961,42899,71390
962,32355,45148
963,4092,98641
964,83965,89871
965,99189,51690
966,6022,32934
967,9261,64087
968,93469,59276
969,68199,96836
970,10414,74694
971,30657,16588
972,32695,73257
973,21065,54440
974,5117,62697
975,42130,342
976,76569,61318
977,36302,14807
978,84608,31480
979,61446,83035
980,54308,93357
981,14823,85736
982,75344,9700
983,46494,2686
984,8816,92839
985,88811,66526
986,77755,52816
987,92252,22246
988,15464,89120
989,51441,55191
990,22175,21005
991,43859,44575
992,65617,75857
993,24486,45413
994,64956,37804
995,47767,9932
996,81100,87239
997,9159,56607
998,58135,37405
999,19454,6035
1000,21150,74275
1001,70619,46253
1002,39421,78428
1003,28405,5092
1004,21391,20720
1005,11498,72995
1006,92755,6021
1007,79766,25764
1008,81757,83046
1009,9012,95008
1010,96992,48952
1011,5464,23221
1012,36917,32013
1013,24082,28415
1014,51343,52668
1015,58230,7360
1016,43990,25050
1017,96806,33496
1018,50216,30031
1019,41972,19190
1020,90448,26111
1021,55667,3577
1022,18239,69272
1023,70243,30840
1024,22811,44400
1025,14976,49398
1026,46590,48748
1027,65566,89850
1028,44148,97044
1029,27786,10779
1030,66776,4886
1031,46396,41644
1032,73775,3814
1033,9011,93824
1034,79798,24364
1035,16391,13421
1036,59485,2017
1037,46528,48675
1038,76719,70715
1039,69838,55830
1040,25448,22142
1041,37577,25256
1042,55960,79565
1043,84793,96490
1044,12344,8226
1045,90177,1830
1046,82223,74351
1047,70834,21024
1048,82406,89527
1049,18543,72000
1050,97705,64222
1051,94464,23792
1052,41687,54448
1053,62485,74920
1054,81286,39151
1055,73780,29282
1056,48896,67314
1057,20389,38645
1058,78889,72556
1059,61976,91260
1060,81868,66903
1061,77559,40470
1062,29667,66032
1063,41959,67737
1064,29544,16692
1065,65339,82414
1066,31082,31500
1067,80800,85248
1068,51745,39194
1069,99096,27833
1070,35678,41938
1071,43410,29356
1072,82223,84159
1073,98498,70704
1074,97825,85446
1075,26609,23274
1076,61592,5675
1077,25096,28684
1078,81955,20699
1079,29641,32162
1080,92736,57189
1081,91357,65880
1082,81526,81414
1083,4317,591
1084,76166,18338
1085,35849,27511
1086,17504,26947
1087,89364,34437
1088,55133,96904
1089,30980,21057
1090,72043,80671
1091,73968,26039
1092,41304,22294
1093,55937,64117
1094,95481,59741
1095,98413,9995
1096,25851,77969
1097,85344,21698
1098,87137,88822
1099,14826,65516
1100,11443,12226
1101,25976,48868
1102,18042,69553
1103,5044,9724
1104,99284,19551
1105,82854,26041
1106,90315,71317
1107,30863,57217
1108,31087,71377
1109,6906,50815
1110,45379,13504
1111,3958,43130
1112,51786,18559
1113,22389,77671
1114,44383,34868
1115,74021,56240
1116,72845,72499
1117,58698,42719
1118,82372,85586
1119,32928,17977
1120,62982,3033
1121,11571,90032
1122,8327,87101
1123,75600,46446
1124,81004,72508
1125,1471,7757
1126,59131,13471
1127,45748,15157
1128,48349,25248
1129,32173,620
1130,32573,53520
1131,79353,37582
1132,67472,30409
1133,99357,75955
1134,94210,70114
1135,50190,84768
1136,100139,7749
1137,4716,65603
1138,29736,84138
1139,18564,65252
1140,42558,2088
1141,14627,71454
1142,16576,35395
1143,30502,26530
1144,40472,48020
1145,8032,5249
1146,70533,24761
1147,27955,57218
1148,83735,17857
1149,78054,76611
1150,12355,89220
1151,90571,80134
1152,15796,59813
1153,60362,3052
1154,27366,60583
1155,17991,33615
1156,84990,14514
1157,54853,90910
1158,80239,15001
1159,50750,75593
1160,79812,74738
1161,59171,38834
1162,64891,91250
1163,32420,5778
1164,90744,13415
1165,84581,17827
1166,32438,46087
1167,81298,65008
1168,18832,78222
1169,24356,48019
1170,49977,65985
1171,72055,67490
1172,20621,60765
1173,31655,32758
1174,14590,36122
1175,74755,20976
1176,99381,39826
1177,101298,65101
1178,13366,69624
1179,99979,81353
1180,93884,89895
1181,50243,32760
1182,67361,52837
1183,68748,18620
1184,65428,27949
1185,82870,10694
1186,77692,39988
1187,92451,75590
1188,36370,98889
1189,64599,49035
1190,85880,87325
1191,5272,93474
1192,22655,81396
1193,13943,68244
1194,57948,8806
1195,88370,59543
1196,57888,54330
1197,44136,77825
1198,16677,94495
1199,61892,60818
1200,62445,13029
1201,49699,93784
1202,50395,5337
1203,75657,89645
1204,26321,17695
1205,37961,70962
1206,35621,64916
1207,67233,81270
1208,8890,79040
1209,69712,258
1210,55546,10323
1211,58382,98893
1212,93188,36330
1213,90233,85263
1214,51882,78104
1215,78279,48092
1216,95358,49662
1217,46060,11041
1218,67564,55777
1219,15749,50495
1220,59469,27594
1221,63470,15925
1222,51717,17871
1223,57337,89969
1224,10102,59711
1225,92831,9297
1226,79016,70885
1227,71297,94769
1228,31617,44154
1229,77347,16629
1230,47075,94389
1231,9611,69598
1232,100950,18818
1233,72533,50420
1234,44554,369
1235,72584,71764
1236,75053,6600
1237,9171,15304
1238,44132,22596
1239,36511,58995
1240,92263,58054
1241,76119,85522
1242,40447,5069
1243,70265,45954
1244,60048,66462
1245,97293,96126
1246,47353,75692
1247,20859,85313
1248,91206,33598
1249,2028,94017
1250,71247,89064
1251,46094,59723
1252,89190,36501
1253,69982,94876
1254,74574,74602
1255,32790,46765
1256,53085,23328
1257,23855,64812
1258,35556,36381
1259,53059,6087
1260,5760,66976
1261,15457,72913
1262,86729,54422
1263,17572,81087
1264,71489,70172
1265,43221,37351
1266,95539,76485
1267,83499,44606
1268,74508,7769
1269,61411,60611
1270,8474,91259
1271,28674,94304
1272,76419,78326
1273,97146,31166
1274,78773,46884
1275,87022,82405
1276,54817,69523
1277,10464,11018
1278,92266,21349
1279,22008,19491
1280,64397,9091
1281,46579,20992
1282,16885,35905
1283,34747,63519
1284,29550,86704
1285,7055,91841
1286,13254,12779
1287,77577,28047
1288,51027,13873
1289,57661,27495
1290,67697,67774
1291,72876,30227
1292,17769,88610
1293,46217,39996
1294,26852,85834
1295,58165,81961
1296,6558,12123
1297,65665,90491
1298,29051,37330
1299,32371,60836
1300,6367,99086
1301,79510,60854
1302,66376,11851
1303,75097,64154
1304,39117,49321
1305,93112,10089
1306,26500,25089
1307,10395,72447
1308,75593,97709
1309,51302,42983
1310,101927,97827
1311,87567,83519
1312,91337,22439
1313,5235,29329
1314,39899,47759
1315,49499,25785
1316,50651,24852
1317,9124,64755
1318,4238,79730
1319,100927,86420
1320,21508,88443
1321,17091,16781
1322,68543,94740
1323,3942,11019
1324,67505,74494
1325,46541,34542
1326,32630,77779
1327,56656,28069
1328,91322,77602
1329,89706,78979
1330,57935,85033
1331,47099,31452
1332,17396,42129
1333,2357,58907
1334,87522,91840
1335,98507,58019
1336,5724,90218
1337,119,59879
1338,100514,99324
1339,52106,23004
1340,67279,42517
1341,33937,46148
1342,8235,39223
1343,11374,23658
1344,37270,34541
1345,51354,61918
1346,95333,1647
1347,30455,88413
1348,9860,93127
1349,8032,22358
1350,983,15936
1351,100347,41527
1352,89171,29849
1353,86892,70939
1354,30736,19326
1355,31148,98303
1356,78811,59704
1357,75790,31005
1358,77913,46046
1359,46002,66595
1360,73622,81785
1361,51589,99130
1362,14576,83415
1363,6282,92579
1364,38449,9152
1365,71399,71305
1366,83523,9493
1367,17253,71683
1368,56711,56094
1369,3368,68812
1370,72860,89534
1371,16483,52969
1372,64074,30684
1373,15528,21841
1374,66344,79619
1375,36579,30291
1376,34632,3051
1377,25418,27935
1378,36469,44121
1379,88600,58487
1380,56863,55127
1381,14782,97697
1382,66140,65378
1383,75977,64377
1384,35471,81649
1385,98863,41108
1386,54278,85411
1387,65816,34533
1388,83961,29587
1389,80809,98005
1390,82768,39238
1391,48017,60045
1392,100298,62374
1393,3072,38167
1394,70747,25385
1395,14675,93634
1396,92463,33842
1397,61641,10563
1398,10993,84407
1399,37232,57287
1400,75754,42775
1401,41686,62627
1402,27996,7204
1403,52617,43817
1404,97768,78163
1405,63399,43039
1406,93882,43023
1407,85334,44595
1408,40642,88811
1409,29910,95347
1410,66026,37031
1411,22504,34279
1412,20911,39800
1413,67957,10798
1414,25786,76330
1415,12869,67597
1416,2520,70331
1417,31174,50891
1418,68144,56995
1419,48632,72389
1420,64235,62898
1421,64170,28341
1422,40976,74614
1423,40391,59895
1424,34115,58943
1425,9509,39172
1426,41172,38826
1427,33524,71113
1428,22785,97384
1429,61731,93500
1430,24331,62516
1431,39420,80484
1432,18097,84613
1433,70510,47442
1434,59085,98525
1435,13772,56024
1436,73248,99780
1437,60677,15087
1438,8462,14660
1439,81315,12330
1440,58922,16674
1441,59410,12829
1442,92724,96835
1443,47254,96500
1444,8954,83147
1445,69683,557
1446,37456,35305
1447,44128,32143
1448,18906,90630
1449,79284,85639
1450,58682,45991
1451,22071,20575
1452,92644,37233
1453,65376,47023
1454,31550,25966
1455,57947,17538
1456,47368,32941
1457,17023,54905
1458,75707,60669
1459,6553,44525
1460,6938,84134
1461,38322,21285
1462,56722,65359
1463,92762,88401
1464,69999,46450
1465,10654,75371
1466,55055,57457
1467,16683,19854
1468,53717,83119
1469,52829,19157
1470,14116,21326
1471,32261,29080
1472,88122,18104
1473,17794,52983
1474,94424,6860
1475,93600,17904
1476,99211,17295
1477,99979,2794
1478,50943,31614
1479,81840,25154
1480,9101,91134
1481,37537,85444
1482,98546,32317
1483,100272,21299
1484,74467,39972
1485,59413,99659
1486,60506,98666
1487,50436,77450
1488,74288,21856
1489,31859,64219
1490,64405,42889
1491,75491,66701
1492,4331,43722
1493,39557,28096
1494,89595,19100
1495,75273,6402
1496,68001,11134
1497,17565,99978
1498,3584,4342
1499,11882,16031
1500,63265,7644
1501,21156,94379
1502,18218,16180
1503,79067,38705
1504,95484,6332
1505,70327,62708
1506,10856,58690
1507,35905,51916
1508,85611,14512
1509,41235,28006
1510,55305,29350
1511,41300,22591
1512,62422,26444
1513,22871,75617
1514,95537,92181
1515,52073,73675
1516,10850,88770
1517,41013,14758
1518,101213,15370
1519,42673,36964
1520,17529,24037
1521,61013,27115
1522,67660,94728
1523,79688,67734
1524,7054,86664
1525,57239,12855
1526,61020,55138
1527,12861,86585
1528,76831,29874
1529,64053,18442
1530,70545,87086
1531,74947,166
1532,53560,96972
1533,16696,26770
1534,23205,30547
1535,71699,4281
1536,28258,77082
1537,39143,29962
1538,5942,19669
1539,100271,94102
1540,76642,94099
1541,29380,24873
1542,40879,87693
1543,71271,14149
1544,84750,57544
1545,84613,68463
1546,79105,44048
1547,38130,89579
1548,54009,61873
1549,66361,15142
1550,95736,84843
1551,56947,47739
1552,8522,94910
1553,3633,41341
1554,16285,37518
1555,41563,69585
1556,68265,69333
1557,93501,22830
1558,82878,92107
1559,19929,39958
1560,57110,63188
1561,86130,60308
1562,56573,25267
1563,95695,63554
1564,99757,88025
1565,92604,36846
1566,2069,40803
1567,46912,30173
1568,92301,7015
1569,5077,49243
1570,85101,28153
1571,8599,99053
1572,96439,75293
1573,62567,23033
1574,97018,90544
1575,49188,27392
1576,25592,93511
1577,20977,12950
1578,1359,61635
1579,32711,60980
1580,18436,95149
1581,55605,56081
1582,2184,30933
1583,57918,75398
1584,90488,25436
1585,85368,22710
1586,8753,62266
1587,26694,64515
1588,97403,51540
1589,7877,96691
1590,93858,6927
1591,43015,80022
1592,52275,28266
1593,15563,63195
1594,6512,58194
1595,100450,2763
1596,66298,29741
1597,62889,62557
1598,69832,66279
1599,29540,23451
1600,59971,93019
1601,69775,74605
1602,19774,53381
1603,58496,19650
1604,47648,26882
1605,20428,97535
1606,89383,48052
1607,89822,66231
1608,33616,28703
1609,6471,59785
1610,97244,43152
1611,12485,61332
1612,16278,38204
1613,59463,8201
1614,78476,98361
1615,57992,15613
1616,62005,46865
1617,74380,59532
1618,4680,39205
1619,6223,39379
1620,44289,3489
1621,94250,21192
1622,75519,54029
1623,71565,9280
1624,28915,93467
1625,88998,72691
1626,101532,39507
1627,92904,14017
1628,49891,78514
1629,87458,12206
1630,97615,43306
1631,38743,22244
1632,39681,9033
1633,76771,26485
1634,67839,33057
1635,68570,16443
1636,45491,63216
1637,10518,1560
1638,63931,8216
1639,85335,59216
1640,92392,1451
1641,28691,48145
1642,66215,18911
1643,21958,32263
1644,2431,18485
1645,33959,68503
1646,18275,68453
1647,29111,19625
1648,93589,43017
1649,62959,5696
1650,65112,55115
1651,67516,25744
1652,74497,37529
1653,13272,6623
1654,47788,74278
1655,61264,57821
1656,18378,86874
1657,48754,47704
1658,82762,46320
1659,2204,25122
1660,3749,89150
1661,16774,61858
1662,34357,94857
1663,38254,98183
1664,49460,73066
1665,4645,87498
1666,66949,69005
